order,family,genus,species
Blattodea,Ectobiidae,NA,NA
Blattodea,NA,NA,NA
Coleoptera,Carabidae,Cicindelinae,NA
Coleoptera,Cerambycidae,Xylotrechus,Xylotrechus sagittatus
Coleoptera,Curculionidae,Dendroctonus,Dendroctonus terebrans
Coleoptera,Curculionidae,Dendroctonus,Dendroctonus terebrans
Coleoptera,Curculionidae,Dendroctonus,Dendroctonus terebrans
Coleoptera,Curculionidae,Hypothenemus,NA
Coleoptera,Curculionidae,Ips,Ips acuminatus
Coleoptera,Curculionidae,Pachylobius,Pachylobius picivorus
Coleoptera,Curculionidae,Pachylobius,Pachylobius picivorus
Coleoptera,NA,NA,NA
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga glaberrima
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga glaberrima
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga prununculina
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga prununculina
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga prununculina
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga prununculina
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga quercus
Coleoptera,Scarabaeidae,Phyllophaga,Phyllophaga quercus
Coleoptera,Scarabaeidae,NA,NA
Coleoptera,Scarabaeidae,NA,NA
Coleoptera,Staphylinidae,NA,NA
Coleoptera,NA,NA,NA
Diptera,NA,NA,NA
Diptera,Chironomidae,Ablabesmyia,NA
Diptera,Chironomidae,Ablabesmyia,NA
Diptera,NA,NA,NA
Diptera,Chironomidae,Chironomus,NA
Diptera,Chironomidae,NA,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,Coelotanypus,NA
Diptera,Chironomidae,NA,NA
Diptera,NA,NA,NA
Diptera,Chironomidae,Thienemanniella,NA
Diptera,Chironomidae,Thienemanniella,NA
Diptera,NA,NA,NA
Diptera,NA,NA,NA
Diptera,Culicidae,Aedes,NA
Diptera,NA,NA,NA
Diptera,Culicidae,NA,NA
Diptera,Culicidae,Culex,NA
Diptera,Culicidae,Mansonia,Mansonia titillans
Diptera,Culicidae,Ochlerotatus,Ochlerotatus albifasciatus
Diptera,Culicidae,Ochlerotatus,Ochlerotatus scapularis
Diptera,Culicidae,Ochlerotatus,Ochlerotatus scapularis
Diptera,Culicidae,Ochlerotatus,Ochlerotatus scapularis
Diptera,Culicidae,Ochlerotatus,Ochlerotatus scapularis
Diptera,NA,NA,NA
Diptera,Culicidae,Ochlerotatus,NA
Diptera,Culicidae,Psorophora,Psorophora cyanescens
Diptera,Culicidae,Psorophora,Psorophora ferox
Diptera,Culicidae,Psorophora,NA
Diptera,Culicidae,Psorophora,NA
Diptera,Dolichopodidae,NA,NA
Diptera,Limoniidae,Symplecta,Symplecta pilipespilipes
Diptera,Micropezidae,Taeniaptera,Taeniaptera trivittata
Ephemeroptera,Baetidae,Callibaetis,Callibaetis pretiosus
Hemiptera,Cicadidae,NA,NA
Hemiptera,Cicadidae,NA,NA
Hemiptera,Cicadidae,NA,NA
Hemiptera,Cicadidae,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,Cicadidae,NA,NA
Hemiptera,Cicadidae,NA,NA
Hemiptera,Clastopteridae,Clastoptera,NA
Hemiptera,Cydnidae,Pangaeus,Pangaeus bilineatus
Hemiptera,Cydnidae,Pangaeus,Pangaeusbilineatus
Hemiptera,Delphacidae,NA,NA
Hemiptera,Delphacidae,NA,NA
Hemiptera,Delphacidae,NA,NA
Hemiptera,Delphacidae,NA,NA
Hemiptera,Delphacidae,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,Notonectidae,Notonecta,NA
Hemiptera,Notonectidae,Notonecta,NA
Hemiptera,Notonectidae,Notonecta,NA
Hemiptera,Notonectidae,Notonecta,NA
Hemiptera,Notonectidae,Notonecta,NA
Hemiptera,Pentatomidae,Oebalus,Oebalus pugnax
Hemiptera,Pentatomidae,Oebalus,Oebalus pugnax
Hemiptera,NA,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,NA,NA,NA
Hemiptera,Rhyparochromidae,Baranowskiobius,NA
Hemiptera,Rhyparochromidae,Baranowskiobius,NA
Hemiptera,NA,NA,NA
Hymenoptera,Formicidae,Brachymyrmex,Brachymyrmex cf.minutus
Hymenoptera,Formicidae,NA,NA
Hymenoptera,Formicidae,Brachymyrmex,NA
Hymenoptera,Formicidae,Brachymyrmex,NA
Hymenoptera,Formicidae,Camponotus,NA
Hymenoptera,Formicidae,Camponotus,NA
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,Formicidae,Crematogaster,Crematogaster torosa
Hymenoptera,Formicidae,Crematogaster,NA
Hymenoptera,NA,NA,NA
Hymenoptera,Formicidae,Ectatomma,Ectatomma edentatum
Hymenoptera,Formicidae,Pheidole,Pheidole dentata
Hymenoptera,Formicidae,Pheidole,Pheidole fimbriata
Hymenoptera,Formicidae,Pheidole,Pheidole morrisii
Hymenoptera,Formicidae,Solenopsis,Solenops isinvicta
Hymenoptera,Formicidae,Solenopsis,Solenopsis geminata
Hymenoptera,Formicidae,Solenopsis,Solenopsis molesta
Hymenoptera,Formicidae,Solenopsis,Solenopsis molesta
Hymenoptera,Formicidae,Solenopsis,NA
Hymenoptera,Formicidae,NA,NA
Hymenoptera,NA,NA,NA
Hymenoptera,NA,NA,NA
Hymenoptera,NA,NA,NA
Hymenoptera,NA,NA,NA
Hymenoptera,NA,NA,NA
Hymenoptera,NA,NA,NA
Lepidoptera,Crambidae,Achyra,NA
Lepidoptera,Crambidae,Achyra,NA
Lepidoptera,Crambidae,Achyra,NA
Lepidoptera,Crambidae,Condylorrhiza,Condylorrhiza vestigialis
Lepidoptera,Crambidae,Glyphodes,Glyphodes sibillalis
Lepidoptera,Crambidae,Glyphodes,Glyphodes sibillalis
Lepidoptera,Crambidae,Glyphodes,Glyphodes sibillalis
Lepidoptera,Crambidae,Herpetogramma,NA
Lepidoptera,Crambidae,NA,NA
Lepidoptera,Crambidae,Maracayia,NA
Lepidoptera,Crambidae,Neodactria,NA
Lepidoptera,Crambidae,Pelinopsis,NA
Lepidoptera,Crambidae,Pilocrocis,Pilocrocis ramentalis
Lepidoptera,Crambidae,Samea,NA
Lepidoptera,Erebidae,Anomis,Anomis anomisillita
Lepidoptera,Erebidae,Anticarsia,Anticarsia gemmatalis
Lepidoptera,Erebidae,Anticarsia,Anticarsia gemmatalis
Lepidoptera,Erebidae,Mocis,Mocis latipes
Lepidoptera,Erebidae,Zale,NA
Lepidoptera,NA,NA,NA
Lepidoptera,Erebidae,Zale,Zale perunctaDHJ01
Lepidoptera,Gelechiidae,Dichomeris,Dichomeris famulata
Lepidoptera,Gelechiidae,Dichomeris,Dichomeris famulata
Lepidoptera,Geometridae,NA,NA
Lepidoptera,Geometridae,Euphyia,NA
Lepidoptera,Geometridae,Pleuroprucha,Pleuroprucha asthenaria
Lepidoptera,Noctuidae,Anicla,NA
Lepidoptera,Noctuidae,Argyrogramma,NA
Lepidoptera,Noctuidae,Callopistria,Callopistria floridensis
Lepidoptera,Noctuidae,Chrysodeixis,Chrysodeixis includens
Lepidoptera,Noctuidae,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,Noctuidae,Helicoverpa,NA
Lepidoptera,Noctuidae,Heliothis,Heliothis virescens
Lepidoptera,Noctuidae,Leucania,NA
Lepidoptera,Noctuidae,Rachiplusia,NA
Lepidoptera,Noctuidae,Rachiplusia,Rachiplusia nu
Lepidoptera,Noctuidae,Rachiplusia,Rachiplusia nu
Lepidoptera,NA,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,NA,NA,NA
Lepidoptera,Noctuidae,Spodoptera,Spodoptera eridania
Lepidoptera,Noctuidae,Spodoptera,NA
Lepidoptera,Pyralidae,Elasmopalpus,Elasmopalpus lignosellus
Lepidoptera,NA,NA,NA
Lepidoptera,Sphingidae,Manduca,Manduca sextapaphus
Neuroptera,Ascalaphidae,Ululodes,Ululodes quadripunctatus
Odonata,Coenagrionidae,NA,NA
Odonata,Coenagrionidae,Ischnura,Ischnura fluviatilis
Odonata,Libellulidae,Erythrodiplax,Erythrodiplax connata
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,Anurogryllus muticus
Orthoptera,Gryllidae,Anurogryllus,NA
Orthoptera,Gryllidae,Anurogryllus,NA
Orthoptera,NA,NA,NA
Orthoptera,Gryllidae,Gryllidae,NA
Orthoptera,NA,NA,NA
Orthoptera,NA,NA,NA
Orthoptera,NA,NA,NA
Trichoptera,Hydroptilidae,Hydroptilidae,NA
Trichoptera,Polycentropodidae,Cyrnellus,NA
Trichoptera,Polycentropodidae,NA,NA
Trichoptera,Polycentropodidae,NA,NA
Trichoptera,Polycentropodidae,NA,NA
Cyrnellus,bold,NA,NA
Polycentropodidae,bold,NA,NA
Polycentropodidae,bold,NA,60
Polycentropodidae,bold,NA,NA
Trombidiformes,bold,NA,NA
Trombidiformes,bold,NA,NA
Trombidiformes,ncbi,NA,NA
Tydeidae,bold,NA,NA
